Sorszám;Név;Kapcsolat;Jegy;Fő;Összeg (Ft);Státusz;Kérés ideje;Belépés ideje;Meghívó
HB-CWGJ;Bálint;;2× Elővétel;2;5000;Megyek;2026-09-11 21:36;;
HB-OSI7;Dani;;3× Elővétel;3;7500;Megyek;2026-09-11 23:46;;
HB-EOSR;Feri;;2× Elővétel;2;5000;Megyek;2026-09-12 01:56;;
HB-PJIT;Hanna;;4× Elővétel;4;10000;Megyek;2026-09-12 04:06;;
HB-ROTP;Juli;;3× Elővétel;3;7500;Megyek;2026-09-12 06:16;;
HB-WNXR;Lilla;;2× Elővétel;2;5000;Megyek;2026-09-12 08:26;;
HB-VKMI;Nóri;;4× Elővétel;4;10000;Megyek;2026-09-12 10:36;;
HB-IXTJ;Petra;;2× Elővétel;2;5000;Megyek;2026-09-12 12:46;;
HB-KWXT;Soma;;3× Elővétel;3;7500;Megyek;2026-09-12 14:56;;
HB-AQ3N;Vince;;4× Elővétel;4;10000;Megyek;2026-09-12 17:06;;
HB-1OXE;Bálint;;3× Elővétel;3;7500;Megyek;2026-09-12 19:16;;
