Sorszám;Név;Kapcsolat;Jegy;Fő;Összeg (Ft);Státusz;Kérés ideje;Belépés ideje;Meghívó
;Anna;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 00:05;;
;Bálint;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 00:42;;
;Csenge;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 01:19;;
HB-JYCX;Dani;;2× Késői belépő 23:30 után;2;4000;Bent;2026-09-07 01:56;2026-09-07 11:04;
;Emese;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 02:33;;
;Feri;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 03:10;;
;Gréta;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 03:47;;
HB-WBCV;Hanna;;1× Késői belépő 23:30 után;1;2000;Bent;2026-09-07 04:24;2026-09-07 11:40;
;Iván;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 05:01;;
;Juli;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 05:38;;
;Kristóf;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 06:15;;
HB-PPLX;Lilla;;2× Késői belépő 23:30 után;2;4000;Bent;2026-09-07 06:52;2026-09-07 12:16;
;Máté;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 07:29;;
;Nóri;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 08:06;;Dani
;Olivér;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 08:43;;Emese
HB-OWOT;Petra;;1× Késői belépő 23:30 után;1;2000;Megyek;2026-09-07 09:20;;Anna
;Réka;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 09:57;;Bálint
;Soma;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 10:34;;Csenge
;Tímea;;Megyek (ingyenes, nincs jegy);1;0;Megyek;2026-09-07 11:11;;Dani
HB-IYGT;Vince;;2× Késői belépő 23:30 után;2;4000;Megyek;2026-09-07 11:48;;Emese
